Name,Category,Price,Stock,Rating
A Light in the Attic,Poetry,51.77,22,3
Tipping the Velvet,Historical Fiction,53.74,20,1
Soumission,Fiction,50.1,20,1
Sharp Objects,Mystery,47.82,20,4
Sapiens: A Brief History of Humankind,History,54.23,20,5
The Requiem Red,Young Adult,22.65,19,1
The Dirty Little Secrets of Getting Your Dream Job,Business,33.34,19,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,17.93,19,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,22.6,19,4
The Black Maria,Poetry,52.15,19,1
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,13.99,19,2
Shakespeare's Sonnets,Poetry,20.66,19,4
Set Me Free,Young Adult,17.46,19,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,52.29,19,5
Rip it Up and Start Again,Music,35.02,19,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,57.25,19,3
Olio,Poetry,23.88,19,1
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,37.59,19,1
Libertarianism for Beginners,Politics,51.33,19,2
It's Only the Himalayas,Travel,45.17,19,2
